id,Image,Title,Authors,Month,Year,College,Course,Type,Abstract
11,book_pic/image.jpg,"Online Sexual Objectification of Filipina: A Content Analysis on RBreezy's Facebook ""Memes"" ","Calinawan, Kim Oliver A., Español, Francesca N., Rivera, Jessa Mae Carla R., Sabusap, Remris John M., Toledo, Aia Couleen T. ",February,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"Facebook has been part of many people's lives for the past years. As time goes by, a huge number of people is adapting on a general direction in which something is developing or changing—also known as trends. One of the best example of a trend is the phenomenal Internet memes. ""Meme"" is an activity, concept, catchphrase, or piece of media that spreads, often as mimicry or for humorous purposes, from person to person via the Internet. Recently, a Facebook page named RBreezy gained followers by posting memes that understatedly objectified Filipina women. A content analysis is the effective way of dissecting the factors that should be considered to prove the sexual implications of phrases that were plastered on the images of women. Given the meme's visual aspects—from fonts down to colors, its captions and feedbacks from the audience of RBreezy's community, the researchers gathered the data they need and inserted it in a modified code guide sheet to raise the collected particulars in an organized manner. The researchers found out, along with the help of a registered psychometrician, based on the information acquired that the page, specifically, its memes, are indeed sexually-objectifying the women posted. With fonts like Impact that maintain a specific meme format, colors such as black and white to provide clarity of statement, and obscene photographs that are commented with explicit remarks. All the factors proved that the page is perpetuating a culture that is downright destroying the image of Filipina.  "
12,book_pic/image.jpg,Perception and Patronage of Conventional Taxi Services (CTS) Commiters on Conventional Taxi Services in Manila City: A Basis for a Public Relations Campaign,"Dula, Julina R., Intes, Lorraine Shaira Mae A., Perez, Sweet Jemae B. ",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"This study focuses on the Perception and Patronage of Conventional Taxi Services (CTS) Commuters on Conventional Taxi Services in Manila City. It aimed to get the insights of CTS commuters: starting from their transportation experience to treatment of drivers to them during the ride. The purpose of this study is to gather data that would be essential in promoting the CTS to commuters in order for the public to gain their trust and patronage of CTS. The results showed that most of CTS commuters have negative comments regarding the services, especially towards CTS drivers' attitude. This study used the results as basis for a public relations campaign that aims to promote the CTS to commuters. The PR campaign is entitled, Byaheng Taxi with the tagline, Byaheng Mapagkakatiwalaan which is also this campaign's official hashtag, the said campaign would proceed with the partnership of PNTOA, LTFRB and all the partners that would sponsor the events within the campaign. This campaign includes conduct of seminars with a goal of educating taxi drivers regarding good customer service, personality development, emergency preparedness, and financial responsibility. After attending the series of seminars, these taxi drivers who participated would receive a seal in their graduation day called the Seal of Road Excellency, which is in the form of a sticker and symbolizes the good quality of CTS. "
13,book_pic/image.jpg,A Study on the Perception of Respondents on Ninoy Aquino Parks and Wildlife Center as Ecotourism Park and Rehabilitation Center: A Basis for PR Plan ,"Acerden, Allysa M., Cabrera, Ceejay G., Nator, Sherwina Aira S., Sabanate, Elaine Joy C.",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"Philippines are known for its natural resources such as wild plants and animals that are found mostly in rural areas. But today, it can also have found in most developed cities in Metro Manila which help to promote tourism in the country. One of which is Ninoy Aquino Park and Wildlife Center. It is a 22.7 hectare zoological and botanical garden which is located in Diliman Quezon City. It is under the administration of the Biodiversity Management Bureau under the Department of Environment and Natural Resources, which protects the area management and conservation of wildlife. The study aimed to know the Perception of Respondents on Ninoy Aquino Parks and Wildlife Center as Ecotourism Park and Rehabilitation Center as a basis for a Public Relations Campaign. It specifically wanted to measure the awareness of the residents of Six Districts of Quezon City and also the visitors on the park regarding the promotion of ecotourism and preservation of wildlife of the park. The study also identified the communication tools used by the Ninoy Aquino Parks and Wildlife Center in order to determine the contribution of this tools to the awareness of the respondents on the park. The study used the descriptive method of research since it aims to gather information about a certain present condition and used of combined both quantitative and qualitative approaches in gathering data. Survey was conducted to the visitors of the park and residents of Quezon City, 100 for the visitors and 100 for the residents. Respondents from Quezon City residents depends on the number of population per district multiplied to the total population of all districts then divide to 100. Cora Arboleda 100 statistical boundary was utilized to the study. As for interviews it was conducted to the Biodiversity Management Bureau, and local government units, non-government organizations and  experts in the field of study for valid information.The gathered data revealed that most of the visitors on the park and residents of Quezon City are aware on the promotion of Ninoy Aquino Parks and Wildlife Center in terms of being an Ecotourism Park and Wildlife Rehabilitation Center. Meanwhile, as for communication tools used by the park, it was found out that majority of the respondents were dependent on website as a source of comprehensive information about the park. The proponents came up with a Public Relations campaign that will increase the awareness of the visitors and residents of Quezon City in able to give more comprehensive knowledge and deeper appreciation on the park. The campaign title is #MakeItAGreenerWorld which objective is to engage people in the activities concerning Ecotourism and Wildlife Conservation and to increase revenue using fund raising activities. "
14,book_pic/image.jpg,The Effects of Online Body Shaming Among Female Millennials: Basis for a Proposed Advocacy Campaign ,"Dalao, Jeanne Pauline R., Dean, Shanen May S., de Leon, Maria Lorena M, Palo, Paula May A.",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"This study examined the effects on online body shaming among female millennials. Its four objectives were: 1) to identify the specific online body shaming experiences of female millennials in terms of fat shaming, skinny shaming and muscular shaming; 2) to evaluate how body shaming on social media affect the female millennials in terms of self-portrayal, social relationship, and online engagement; 3) to determine the coping mechanisms practiced by the female millennials who experience body shaming and 4) to propose an advocacy campaign based on the results. The study used the Social Identity Theory. There were 12 respondents of the interviews who were categorized into three for each type of body shaming. Purposive sampling technique was used to select the female millennials who participated in the study. Qualitative data through interviews were also collected from a psychologist, anthropologist, and social media expert to validate and explain their statements. The study found that online body shaming led to various negative effects on the respondents' physical, mental, and emotional disposition. Their experiences led them to resort to appearance management behaviors, digital manipulation of images, and avoidance of socialization. There were also alarming effects on their health such as binge-eating, anxiety, body consciousness, low self-esteem, depression, and suicidal thoughts. The researchers recommend that the findings of this study will serve as a guide to create relevant organizations for educating people about body shaming and for social media users to take part in spreading awareness towards this social issue. An advocacy campaign is proposed to focus on the awareness. education, and women empowerment against online body shaming among female millennia's, families and relatives, and the general public. "
15,book_pic/image.jpg,Level of Awareness and the Attitude of Pet Owners and Non-Pet Owners of the City of Manila on the Philippine Society for the Prevention of Cruelty to Animals (PSPCA): Basis for a Digital Media Campaign,"Abasola, Abbygail R., Bañaga, Frances Angeline T., Cruz, Vinci Paula Jowane, Edejer, Trixie E., Ramos, Ezralein Joy B. ",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"This study aimed 10 answer the following questions: What is the level of awareness of pet owners and non-pet owners or the City or Manila on PSPCA in terms of their products, services, and programs? ; What is the attitude or pet owners and non-pet owners of the City of Manila towards animal welfare? ; What makes PSPCA different among other pet organizations and/or veterinary clinics? ; How do the efforts exerted by the government help in promoting animal rights and welfare? ; and lastly, what is the most appropriate tool to advertise the organization as well as its advocacy. The study covered the six districts of Manila. The study made used of a descriptive research design that is quantitative in nature. With the goal of determining the kind and amount of knowledge and awareness pet owners and non-pet owners from the City of Manila have with regards to PSPCA, the researcher gathered data and collected information by conducting researcher administered surveys among the respondents and interviews with the key informants of the study. The researchers arranged the data and information from the selected residents of Manila in a tabulated format. The answers were tallied and computed. The results of the survey, as well as the answers from the interview with key informants, were discussed and interpreted. According to the major findings, 38% of the pet owners and non-pet owners in Manila are not aware ""HINDI TALAGA ALAM"" that the Philippine Society for the Prevention of Cruelty to Animals (PSPCA) is a non-govemment organization that promotes animal welfare and responsible pet ownership, and 18% are slightly aware ""HINDI ALAM"". Thus, there is a need to increase the level of awareness and the attitude of the selected residents of Manila with regards to the existence of PSPCA and what the organization do. The study aimed a digital media campaign that helped PSPCA reach this goal because social media and the internet are powerful tools for the awareness and promotion of a product/service. Here were the recommendations: PSPCA should continue to provide quality and affordable products and services to clients and promote animal rights and animal welfare while doing so; PSPCA should exert more efforts when it comes to communicating their messages with their clients; PSPCA should engage with clients not only in every appointment in their clinic / hospital but also online by creating more social media accounts for the organization; PSPCA should dedicate ample time and effort in promoting their products and services, as well as their advocacy, by using social media and the internet where you can post content for free unless they want to take these efforts into another level; and PSPCA should continue to show what they can do and let other people to see it so that more funds and donations will follow. "
16,book_pic/image.jpg,"A Study on the Preservation Efforts of the Weaving Industry by the Three Stakeholders in Paoay, Ilocos Norte: A Basis for Video Documentary ","Barba, Bea Trisha T., Carles, Mary Aleczandra J., Magbutay, Samuel Josephine G., Sajona, Madj G., Yap, Athens S. ",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"Weaving is one of the Filipino cultures that are clone in a meticulous way and with passion. It is passed through generations of families in Iloconos that helped them get through their everyday life. The preservation of the industry has faced so many challenges brought by the lack of interested weavers. The decreasing number of weavers in Paoay affected the industry and the families that used it as a livelihood. With this, the researchers figured out the cause on why there are only a few number of local residents who are interested in weaving through a video documentary thesis entitled: A Study on the Preservation Efforts of the Weaving Industry by the 3 Stakeholders in Paoay, Ilocos Norte: A Basis for Video Documentary. The researchers' qualitative study used a descriptive research design to acquire the data needed to answer the problems of the study. Purposive sampling technique helped the researchers identify their selected stakeholders from different sectors, Local Government Unit: Adela Rebollido, Non-Government Organization: Charito Cariaga (Nagbacalan Loomweavers Multi-purpose Cooperative), and a local independent weaver: Roselyn Rico that supported the researchers to construct a criterion that is confirmed by their consultants and adviser. The researchers assimilated information through in-depth interviews, observation, archives and library research that answered the problems of the study that are analyzed using a thematic form wherein the use of the framework method is observed. "
17,book_pic/image.jpg,An In-depth Analysis on Ishmael Bernal's Himala (1982) As a Basis for A Film Literacy Guidebook,"Amplayo, Jomiel S., Cruz, Bede Dominic, Magsino, Ryo Linus M., Mendoza, Angeline Danica, Rivera, Maria Angela G. ",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"This study focused on the messages inside National Artist for Film Ishmael Bernalis 1982 film Himala. This film's presence resounds in the annals of the film industry as the Gem of Asian Cinema. Himala tackled the story of a maiden named Elsa who supposedly saw an apparition of the Virgin Mary in the hillocks of the outskirts of Baryo Cupang during an eclipse. After the eclipse, Elsa started showing signs of having gained divine providence: holy marks reminiscent to the wounds sustained by Jesus Christ during His carrying of the Cross such as stigmata and whip-marks, healing the hapless, and ending the long drought suffered by their village, but she was left reeling after a string of events led her to denounce the miracles she has peddled to those who believed. The researchers peered unto universal issues discussed in the two-hour run of Himala such as the perversion of religion, how a system of belief is exploited as a mechanism, and the human psyches' framework in the face of hope given, and hope taken. "
18,book_pic/image.jpg,The Role of Escuela Taller in the Conservation and Rehabilitation of the Philippine Built Heritage: Basis for a Public Relations Campaign,"Bete, Carla Denise G., Gone, Ceejay Ryan Q., Hiso-An, Maria Genesis M., Mojica, Darlyn E. ",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"Escuela Taller is a technical/vocational school and a training center located in Intramuros, Manila whose main goal is to further promote the protection, conservation and rehabilitation of the Philippine's tangible heritage through skills development and training of the economically challenged youth. It is also a project of the national government in partnership with the spanish embassy that is represented by the National Commission for Culture and the Arts and Agencia Espanola de Cooperacion International para de Desarollo (AECID), for each organization, respectively. This study seeks to introduce the role of Escuela Taller in the conservation and rehabilitation of the Philippine Built heritage. This was conducted in order to let the people know about the worth of this organization, for the potential funders and supporters to help the organization, so that they can widen their horizons. Specifically, how unique it is in terms that the organization not only helps the preservation of the Philippine tangible heritage, but also it helps in the empowerment of the out-of-school youth, through the so-called, ""learning by doing technique- that are imparted to the trainees by the high skilled trainers of Escuela Taller. In order to do such, there was an intensive research, survey and in-depth interviews to the key informants. The results from the data gathered showed how worthy of a support Escuela Taller is. Based on the study. Escuela Taller indeed helped the Philippine government in more ways than one, that the said organization can and wouldperform better if they can generate funds and support that will help them cater all their needs in order to do bigger projects and to accommodate more trainees. "
19,book_pic/image.jpg,Assessment of the Communication Strategies in Promoting the Preservation of Sea Turtles in Bataan: Basis for a Civic Education Plan ,"Dueñas, Kurt Dominique F., Duma, Marinette A., Ortiaga, Kristian Mae C., Quiambao, Ma. Clarissa C., Vidania, Maristella Crisette Aubreah R.",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"The Philippine seas is a sanctuary full of life. It is home to many marine animals including the ""gardeners of the sea"", also known as sea turtles. These creatures are essential factor to life under the sea for they are the ones eating the harmful algae on the corals for the fishes to have homes. Unfortunately, these animals' population is slowly declining due to climate change and human activities such as overfishing, dynamite fishing and improper waste management. Marine conservation is often the neglected topic to the developmental effort because most are focused on developmental work on poverty and climate change alone. With all the dreading news about the sea turtles' endangerment, there are still initiatives toward saving them, one of which is the first community-based conservation center in Morong, Bataan that is solely concentrated towards saving them. The Pawikan Conservation Center was pioneered by poachers turned advocates from Brgy. Purok VI. They were once the causes of the sea turtles' declination but today, they are the cause of their conservation. The preservation of these creatures must be prioritized in the same level of other development. The study's objective is to assess the communication strategies of Bataan in regards with the preservation of the sea turtles through an extensive research of their efforts of the Pawikan Conservation Center. It was determined that the efforts of this center were lacking, therefore the deficiency in their communication strategies. With these gathered data, the study articulated a plan civic education plan from 2019-2021. This aims to involve the citizens of Morong with the advocacy. the plan will include programs that are fitted to encourage the community to be self-sufficient in terms of saving the sea turtles in the vicinity. Every citizen must be informed about these problems. This awareness leading to education to an action. In this process it must be reiterated that they themselves are the solution, that they have the power to solve this problem. To open the eyes of the people on the matter. centers like PCC must be put into the light and with an integrated plan to make the advocacy into actions."
20,book_pic/image.jpg,A Content Analysis on Selected TV Patrol News Reports with Respect to the Comments of the President of the Philippines ,"Dantes, Aira Crizle, De Guzman, lady Aikee D., Rosales, Winona Gian Kristen S., Sardea, Kimberly Denise G., Torres, Shane Elina C. ",March ,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"The researchers conducted a study entitled A Content Analysis on Selected TV Patrol News Reports with Respect to the Comments of the President of the Philippines. The main purpose of the study is to analyze whether TV Patrol, the flagship national network news broadcast of ABS-CBN is biased in broadcasting news about President Duterte on television. As journalism students, the researchers were encouraged to do such study to have a better outlook on the issues faced by one of the industries they may be working with in the near future. This is also to present and give more education to the future mass communication and journalism students regarding issues on media biases. The study revolved in the background of TV Patrol and ABS-CBN as well as President Rodrigo Duterte, to see the relation of the two main variables. The researchers also studied other issues faced by the network regarding news reporting and those that concerns the president. After doing an inclusive research, and with the help of the media experts, the researchers came up with the conclusion that ABS-CBN's TV Patrol is not biased. The program, the staff, especially the reporters, are not biased. They report with factuality, alongside considering the guidelines and journalism code of ethics that assure prevent them from being biased. Although, there are still other factors, like media being a business, that the president might consider in labeling the company as biased. "
